"Tisiphone","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Tisiphone_","0032","Tisiphone_0032","","","","Ввввбиивсссс....","","",""
"Integrated","Tisiphone_","0033","Tisiphone_0033","","","","Вбиивцяя, вбивцяяя!","","",""
"Integrated","Tisiphone_","0034","Tisiphone_0034","","","","Вбивствооо!!","","",""
"Integrated","Tisiphone_","0035","Tisiphone_0035","","","","Вбиии...!","","",""
"Integrated","Tisiphone_","0036","Tisiphone_0036","","","","Вввбивство!","","",""
"Integrated","Tisiphone_","0037","Tisiphone_0037","","","","Вввв!!!","","",""
"Integrated","Tisiphone_","0038","Tisiphone_0038","","","","Вбиввцяя!","","",""
"Integrated","Tisiphone_","0039","Tisiphone_0039","","","","Вбивстооо!!","","",""
"Integrated","Tisiphone_","0040","Tisiphone_0040","","","","Вбивстооооооо...!!","","",""
"Integrated","Tisiphone_","0041","Tisiphone_0041","","","","ВбивцЯЯЯЯ...!!","","",""
"Integrated","Tisiphone_","0042","Tisiphone_0042","","","","Ууу, бив, цяяя!!","","",""
"Integrated","Tisiphone_","0043","Tisiphone_0043","","","","Вбииугнннххх!!","","",""
"Integrated","Tisiphone_","0044","Tisiphone_0044","","","","Вбииухххх!","","",""
"Integrated","Tisiphone_","0045","Tisiphone_0045","","","","Вбб, гхмнн...","","",""
"Integrated","Tisiphone_","0046","Tisiphone_0046","","","","Вбии....","","",""
"Integrated","Tisiphone_","0047","Tisiphone_0047","","","","Вбиии....","","",""
"Integrated","Tisiphone_","0048","Tisiphone_0048","","","","Вввбббб....","","",""
"Integrated","Tisiphone_","0049","Tisiphone_0049","","","","Вбсрнгх!","","",""
"Integrated","Tisiphone_","0050","Tisiphone_0050","","","","Вббб...?","","",""
"Integrated","Tisiphone_","0051","Tisiphone_0051","","","","Вбб...","","",""
"Integrated","Tisiphone_","0052","Tisiphone_0052","","","","Вбст?","","",""
"Integrated","Tisiphone_","0053","Tisiphone_0053","","","","Вбб...","","",""
"Integrated","Tisiphone_","0054","Tisiphone_0054","","","","Ств...","","",""
"Integrated","Tisiphone_","0055","Tisiphone_0055","","","","Вбивство...?","","",""
"Integrated","Tisiphone_","0056","Tisiphone_0056","","","","Вбивство...!","","",""
"Integrated","Tisiphone_","0057","Tisiphone_0057","","","","Вбиввствоо....","","",""
"Integrated","Tisiphone_","0058","Tisiphone_0058","","","","Вбиввцяя....","","",""
"Integrated","Tisiphone_","0059","Tisiphone_0059","","","","Вбивцяя!","","",""
"Integrated","Tisiphone_","0060","Tisiphone_0060","","","","Вбиии...","","",""
"Integrated","Tisiphone_","0061","Tisiphone_0061","","","","Ввв...","","",""
"Integrated","Tisiphone_","0062","Tisiphone_0062","","","","Ввв!","","",""
"Integrated","Tisiphone_","0063","Tisiphone_0063","","","","Ммм.","","",""
"Integrated","Tisiphone_","0064","Tisiphone_0064","","","","Ррр...","","",""
"Integrated","Tisiphone_","0065","Tisiphone_0065","","","","Вбрнгх...","","",""
"Integrated","Tisiphone_","0066","Tisiphone_0066","","","","Мрхх!","","",""
"Integrated","Tisiphone_","0067","Tisiphone_0067","","","","Ррнгх!","","",""
"Integrated","Tisiphone_","0068","Tisiphone_0068","","","","Вбввв...","","",""
"Integrated","Tisiphone_","0069","Tisiphone_0069","","","","Мм-ххмммм...","","",""
"Integrated","Tisiphone_","0070","Tisiphone_0070","","","","Хрмх.","","",""
"Integrated","Tisiphone_","0071","Tisiphone_0071","","","","Вбивця.","","",""
"Integrated","Tisiphone_","0072","Tisiphone_0072","","","","Вбивцяяя....","","",""
"Integrated","Tisiphone_","0073","Tisiphone_0073","","","","Ввбивця...","","",""
"Integrated","Tisiphone_","0074","Tisiphone_0074","","","","Вбивця!","","",""
"Integrated","Tisiphone_","0075","Tisiphone_0075","","","","<Сміх>","","",""
