"Eurydice","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Eurydice_","0004","Eurydice_0004","","","","Він тебе на це підбив? Слухай, сонце, чом би тобі просто не продовжити займатися своїми справами. Але я не відпущу тебе з пустими руками, такі правила, тому вибирай що душі заманеться! Йому не дам нічого.","","",""
"Integrated","Eurydice_","0033","Eurydice_0033","","","","","","",""
"Integrated","Eurydice_","0034","Eurydice_0034","","","","","","",""
"Integrated","Eurydice_","0035","Eurydice_0035","","","","","","",""
"Integrated","Eurydice_","0036","Eurydice_0036","","","","","","",""
"Integrated","Eurydice_","0037","Eurydice_0037","","","","","","",""
"Integrated","Eurydice_","0038","Eurydice_0038","","","","","","",""
"Integrated","Eurydice_","0039","Eurydice_0039","","","","","","",""
"Integrated","Eurydice_","0040","Eurydice_0040","","","","","","",""
"Integrated","Eurydice_","0041","Eurydice_0041","","","","","","",""
"Darren","Eurydice_","0050","Eurydice_0050","","","","Знаєте, а ви набагато щедріший ніж всі говорять, Ваша Величносте! Я і сама почуваюся щедрою, тому ось! Я хочу щоб ви це взяли.","","",""
"Integrated","Eurydice_","0051","Eurydice_0051","","","","Хто там?","","",""
"Integrated","Eurydice_","0052","Eurydice_0052","","","","Так, чого вам треба? Ох!","","",""
"Integrated","Eurydice_","0053","Eurydice_0053","","","","Там є хто?","","",""
"Integrated","Eurydice_","0054","Eurydice_0054","","","","Ох, гей!","","",""
"Integrated","Eurydice_","0055","Eurydice_0055","","","","Привіт сонце!","","",""
"Integrated","Eurydice_","0056","Eurydice_0056","","","","О, гей!","","",""
"Integrated","Eurydice_","0057","Eurydice_0057","","","","Гей, ти!","","",""
"Integrated","Eurydice_","0058","Eurydice_0058","","","","Гей!","","",""
"Integrated","Eurydice_","0059","Eurydice_0059","","","","Величносте!","","",""
"Integrated","Eurydice_","0060","Eurydice_0060","","","","Величносте.","","",""
"Integrated","Eurydice_","0061","Eurydice_0061","","","","Гляньте-но хто.","","",""
"Integrated","Eurydice_","0062","Eurydice_0062","","","","Привіт!","","",""
"Integrated","Eurydice_","0063","Eurydice_0063","","","","Вітання!","","",""
"Integrated","Eurydice_","0064","Eurydice_0064","","","","Заходь!","","",""
"Integrated","Eurydice_","0065","Eurydice_0065","","","","Почувай себе як вдома.","","",""
"Darren","Eurydice_","0066","Eurydice_0066","","","","Усі!","","",""
"Darren","Eurydice_","0067","Eurydice_0067","","","","Давай!","","",""
"Darren","Eurydice_","0068","Eurydice_0068","","","","Заспівай зі мною!","","",""
"Darren","Eurydice_","0069","Eurydice_0069","","","","Співай!","","",""
"Darren","Eurydice_","0070","Eurydice_0070","","","","О так!","","",""
"Darren","Eurydice_","0071","Eurydice_0071","","","","Саме так!","","",""
"Darren","Eurydice_","0072","Eurydice_0072","","","","Бери що душі заманеться!","","",""
"Darren","Eurydice_","0073","Eurydice_0073","","","","У тебе природжний талант!","","",""
"Integrated","Eurydice_","0094","Eurydice_0094","","","","","","",""
"Integrated","Eurydice_","0095","Eurydice_0095","","","","","","",""
"Integrated","Eurydice_","0096","Eurydice_0096","","","","","","",""
"Integrated","Eurydice_","0097","Eurydice_0097","","","","","","",""
"Integrated","Eurydice_","0098","Eurydice_0098","","","","","","",""
"Integrated","Eurydice_","0111","Eurydice_0111","","","","Ну, тоді побачимося!","","",""
"Integrated","Eurydice_","0112","Eurydice_0112","","","","Обережно, сонце!","","",""
"Integrated","Eurydice_","0113","Eurydice_0113","","","","Бережися, добре?","","",""
"Integrated","Eurydice_","0114","Eurydice_0114","","","","Бувайте Ваша Величносте!","","",""
"Integrated","Eurydice_","0115","Eurydice_0115","","","","Бувай!!","","",""
"Integrated","Eurydice_","0116","Eurydice_0116","","","","Добре, бувай!","","",""
"Integrated","Eurydice_","0117","Eurydice_0117","","","","Ще перетнемося, а?","","",""
"Integrated","Eurydice_","0118","Eurydice_0118","","","","Спокійного плавання!","","",""
"Integrated","Eurydice_","0119","Eurydice_0119","","","","Не втрачай голову!","","",""
"Integrated","Eurydice_","0120","Eurydice_0120","","","","Ще побачимось!","","",""
"Integrated","Eurydice_","0121","Eurydice_0121","","","","Приходь знову!","","",""
"Integrated","Eurydice_","0122","Eurydice_0122","","","","У тебе все вийде!","","",""
"Integrated","Eurydice_","0123","Eurydice_0123","","","","Насолоджуйся!","","",""
"Integrated","Eurydice_","0124","Eurydice_0124","","","","Це за мій рахунок!","","",""
"Integrated","Eurydice_","0125","Eurydice_0125","","","","Ось тримай!","","",""
"Integrated","Eurydice_","0126","Eurydice_0126","","","","Уся ваша!","","",""
"Integrated","Eurydice_","0127","Eurydice_0127","","","","Свіжозроблені!","","",""
"Integrated","Eurydice_","0128","Eurydice_0128","","","","Без проблем!","","",""
"Integrated","Eurydice_","0129","Eurydice_0129","","","","Звичайно!","","",""
"Integrated","Eurydice_","0130","Eurydice_0130","","","","Звучить непогано!","","",""
"Integrated","Eurydice_","0131","Eurydice_0131","","","","Для тебе!","","",""
"Darren","Eurydice_","0132","Eurydice_0132","","","","Що я можу для тебе зробити, сонце?","","",""
"Darren","Eurydice_","0133","Eurydice_0133","","","","Потрібно що, сонце.","","",""
"Darren","Eurydice_","0137","Eurydice_0137","","","","Так, я слухаю?","","",""
"Darren","Eurydice_","0139","Eurydice_0139","","","","Гей, Ваша Королівська Високосте, чим можу завдячувати?","","",""
"Integrated","Eurydice_","0140","Eurydice_0140","","","","Все вірно, сонце!","","",""
"Integrated","Eurydice_","0141","Eurydice_0141","","","","Вже несу!","","",""
"Integrated","Eurydice_","0142","Eurydice_0142","","","","Звичайно, сонце.","","",""
"Integrated","Eurydice_","0143","Eurydice_0143","","","","Буду мати за честь.","","",""
"Integrated","Eurydice_","0144","Eurydice_0144","","","","Хах, я знала!","","",""
"Integrated","Eurydice_","0145","Eurydice_0145","","","","Гарний вибір, сонце.","","",""
"Integrated","Eurydice_","0146","Eurydice_0146","","","","Не сумнівайся!","","",""
"Integrated","Eurydice_","0147","Eurydice_0147","","","","Як забажаєте, Ваша Королівська Високосте.","","",""
"Integrated","Eurydice_","0148","Eurydice_0148","","","","Це можна влаштувати.","","",""
"Integrated","Eurydice_","0149","Eurydice_0149","","","","Звучить непогано, без проблем!","","",""
"Integrated","Eurydice_","0166","Eurydice_0166","","","","<Смішок>","","",""
"Integrated","Eurydice_","0167","Eurydice_0167","","","","<Смішок>","","",""
"Darren","Eurydice_","0168","Eurydice_0168","","","","<Сміх>","","",""
"Darren","Eurydice_","0169","Eurydice_0169","","","","<Сміх>","","",""
"Darren","Eurydice_","0170","Eurydice_0170","","","","<Насмішка>","","",""
"Darren","Eurydice_","0171","Eurydice_0171","","","","<Насмішка>","","",""
"Integrated","Eurydice_","0184","Eurydice_0184","","","","Ну ж бо.","","",""
"Integrated","Eurydice_","0185","Eurydice_0185","","","","Не зараз.","","",""
"Integrated","Eurydice_","0186","Eurydice_0186","","","","Гей!","","",""
"Integrated","Eurydice_","0187","Eurydice_0187","","","","Будь ласка.","","",""
"Integrated","Eurydice_","0188","Eurydice_0188","","","","Дай мені співати.","","",""
"Integrated","Eurydice_","0189","Eurydice_0189","","","","Перепрошую!","","",""
"Integrated","Eurydice_","0190","Eurydice_0190","","","","Ех!","","",""
"Integrated","Eurydice_","0191","Eurydice_0191","","","","Як скажеш!","","",""
"Integrated","Eurydice_","0192","Eurydice_0192","","","","Пробач, співаю!","","",""
"Integrated","Eurydice_","0193","Eurydice_0193","","","","Справді, сонце?","","",""
"Integrated","Eurydice_","0194","Eurydice_0194","","","","Веселишся?","","",""
"Integrated","Eurydice_","0183","Eurydice_0183","","","","Давай.","","",""
"Integrated","Eurydice_","0184","Eurydice_0184","","","","Ну ж бо.","","",""
"Integrated","Eurydice_","0185","Eurydice_0185","","","","Не зараз.","","",""
"Integrated","Eurydice_","0186","Eurydice_0186","","","","Гей!","","",""
"Integrated","Eurydice_","0187","Eurydice_0187","","","","Будь ласка.","","",""
"Integrated","Eurydice_","0188","Eurydice_0188","","","","Дай мені поспівати.","","",""
"Integrated","Eurydice_","0189","Eurydice_0189","","","","Перепрошую!","","",""
"Integrated","Eurydice_","0190","Eurydice_0190","","","","Ех!","","",""
"Integrated","Eurydice_","0191","Eurydice_0191","","","","Як скажеш!","","",""
"Integrated","Eurydice_","0192","Eurydice_0192","","","","Пробач, співаю!","","",""
"Integrated","Eurydice_","0193","Eurydice_0193","","","","Справді, сонце?","","",""
"Integrated","Eurydice_","0194","Eurydice_0194","","","","Веселишся?","","",""
"Integrated","Eurydice_","0219","Eurydice_0219","","","","Побачимося!","","",""
"Integrated","Eurydice_","0220","Eurydice_0220","","","","Бувай здоров!","","",""
"Integrated","Eurydice_","0221","Eurydice_0221","","","","Бережися!","","",""
"Integrated","Eurydice_","0222","Eurydice_0222","","","","Бувай, сонце!","","",""
"Integrated","Eurydice_","0223","Eurydice_0223","","","","Бережи себе!","","",""
"Integrated","Eurydice_","0224","Eurydice_0224","","","","Безпечної подорожі!","","",""
"Integrated","Eurydice_","0225","Eurydice_0225","","","","Гарний вибір!","","",""
"Integrated","Eurydice_","0226","Eurydice_0226","","","","Прекрасно.","","",""
"Integrated","Eurydice_","0227","Eurydice_0227","","","","Вже несу!","","",""
"Integrated","Eurydice_","0228","Eurydice_0228","","","","Спробуй це!","","",""
"Integrated","Eurydice_","0229","Eurydice_0229","","","","Звичайно, ось!","","",""
"Integrated","Eurydice_","0230","Eurydice_0230","","","","Обережно, гаряче!","","",""
"Integrated","Eurydice_","0231","Eurydice_0231","","","","Ось, насолоджуйся!","","",""
"Integrated","Eurydice_","0232","Eurydice_0232","","","","Сподіваюся тобі сподобається!","","",""
"Integrated","Eurydice_","0256","Eurydice_0256","","","","Малий Аїда!","","",""
"Integrated","Eurydice_","0257","Eurydice_0257","","","","Гей!","","",""
"Integrated","Eurydice_","0258","Eurydice_0258","","","","З поверненням!","","",""
"Integrated","Eurydice_","0259","Eurydice_0259","","","","Заходь!","","",""
"Integrated","Eurydice_","0260","Eurydice_0260","","","","Як воно?","","",""
"Integrated","Eurydice_","0261","Eurydice_0261","","","","Глянь, Орфейчику!","","",""
"Integrated","Eurydice_","0262","Eurydice_0262","","","","Глянь хто, Орфейчику!","","",""
