"Artemis","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Darren","Artemis_","0062","Artemis_0062","","","Що, це мені, ти хочеш поторгуватися, чи як, ну тоді погляньмо що тут у мене є, ось!","","",""
"Darren","Artemis_","0064","Artemis_0064","","","Я так і думала, що ти ще щось мені принесеш, але цього разу тобі не застати мене зненацька. Я тобі теж щось принесла, тому, ось.","","",""
"Integrated","Artemis_","0067","Artemis_0067","","","Від мене не сховатися!","","",""
"Integrated","Artemis_","0068","Artemis_0068","","","Взяла їх запах!","","",""
"Integrated","Artemis_","0069","Artemis_0069","","","Я про це подбаю!","","",""
"Integrated","Artemis_","0073","Artemis_0073","","","Як воно, Загрею?","","",""
"Integrated","Artemis_","0074","Artemis_0074","","","Гей, це знову я.","","",""
"Integrated","Artemis_","0075","Artemis_0075","","","Пополюємо разом?","","",""
"Integrated","Artemis_","0076","Artemis_0076","","","Рада що ти все ще живий.","","",""
"Integrated","Artemis_","0077","Artemis_0077","","","Ох, привіт, пам'ятаєш мене?","","",""
"Integrated","Artemis_","0078","Artemis_0078","","","Без проблем.","","",""
"Integrated","Artemis_","0079","Artemis_0079","","","Зрозуміло.","","",""
"Darren","Artemis_","0080","Artemis_0080","","","Звичайно.","","",""
"Darren","Artemis_","0081","Artemis_0081","","","Я можу це зробити.","","",""
"Darren","Artemis_","0082","Artemis_0082","","","Чом би й ні.","","",""
"Integrated","Artemis_","0083","Artemis_0083","","","Гей, дякую!","","",""
"Integrated","Artemis_","0084","Artemis_0084","","","Ти дуже люб'язний.","","",""
"Integrated","Artemis_","0085","Artemis_0085","","","Я вдячна.","","",""
"Integrated","Artemis_","0086","Artemis_0086","","","Дякую тобі за це.","","",""
"Integrated","Artemis_","0087","Artemis_0087","","","Благословляю, Загрею.","","",""
"Integrated","Artemis_","0088","Artemis_0088","","","Я цього не забуду.","","",""
"Integrated","Artemis_","0089","Artemis_0089","","","Як гарно з твого боку.","","",""
"Integrated","Artemis_","0090","Artemis_0090","","","Ось, дещо для тебе.","","",""
"Darren","Artemis_","0091","Artemis_0091","","","Ось дещо натомість.","","",""
"Darren","Artemis_","0092","Artemis_0092","","","Хочу щоб ти взяв це.","","",""
"Darren","Artemis_","0093","Artemis_0093","","","Маленький подаруночок від мене.","","",""
"Darren","Artemis_","0094","Artemis_0094","","","Ти заслужив моє благословення.","","",""
"Darren","Artemis_","0095","Artemis_0095","","","Як шкода.","","",""
"Darren","Artemis_","0096","Artemis_0096","","","Це розчаровує.","","",""
"Darren","Artemis_","0097","Artemis_0097","","","Це було легковажно.","","",""
"Darren","Artemis_","0098","Artemis_0098","","","А оце вже помилка.","","",""
"Darren","Artemis_","0099","Artemis_0099","","","Не варто було цього робити.","","",""
"Darren","Artemis_","0100","Artemis_0100","","","Поганий вибір.","","",""
"Integrated","Artemis_","0101","Artemis_0101","","","Як ти смієш.","","",""
"Darren","Artemis_","0102","Artemis_0102","","","Ах ти...!","","",""
"Darren","Artemis_","0103","Artemis_0103","","","Ти, агх...!","","",""
"Integrated","Artemis_","0104","Artemis_0104","","","Що з тобою не так.","","",""
"Integrated","Artemis_","0105","Artemis_0105","","","Що ти робиш?","","",""
"Integrated","Artemis_","0106","Artemis_0106","","","Не можу в це повірити.","","",""
"Integrated","Artemis_","0107","Artemis_0107","","","Це якийсь жарт?","","",""
"Darren","Artemis_","0108","Artemis_0108","","","Не турбуй мене зараз.","","",""
"Darren","Artemis_","0110","Artemis_0110","","","Я хотіла би побути наодинці?","","",""
"Darren","Artemis_","0111","Artemis_0111","","","Не можу в це повірити...!","","",""
"Darren","Artemis_","0112","Artemis_0112","","","Це насправді відбувається?","","",""
"Integrated","Artemis_","0113","Artemis_0113","","","Хах, дійсно...","","",""
"Darren","Artemis_","0114","Artemis_0114","","","Не те на що я розраховувала...","","",""
"Darren","Artemis_","0115","Artemis_0115","","","Що, я...?","","",""
"Darren","Artemis_","0116","Artemis_0116","","","Зовсім непогано.","","",""
"Darren","Artemis_","0117","Artemis_0117","","","Хей, непогана робота.","","",""
"Darren","Artemis_","0118","Artemis_0118","","","А це дуже добре.","","",""
"Darren","Artemis_","0119","Artemis_0119","","","Хм, Я вражена.","","",""
"Darren","Artemis_","0120","Artemis_0120","","","А ти знаєш що робиш.","","",""
"Integrated","Artemis_","0172","Artemis_0172","","","Правильний вибір, Загрею!","","",""
"Integrated","Artemis_","0173","Artemis_0173","","","Прямо в ціль!","","",""
"Integrated","Artemis_","0174","Artemis_0174","","","Вибір невеликий, правду кажучи!","","",""
